id,Creative Habit,Most Central Habits,Frequency,Percent,Cluster_size,Degree,ClusterCentrality,ClusterBridging,Cluster_ID,label,x_tsne,y_tsne,OriginalLabel,OriginalX,OriginalY,OriginalSize
0,Collaborator,"Risk Friendly, Novelty Seeker, Multitasker",2864,29.73,18,5,-0.6736120658207899,-0.3407927652888841,Cluster_1,Collaborator,49.85442352294922,-53.94889068603516,Collaborator,49.85442352294922,-53.94889068603516,10
1,Comforting Mess,"Risk Friendly, Novelty Seeker, Multitasker",2650,27.51,18,4,-0.1191236423689298,-0.7757692790861835,Cluster_1,Comforting Mess,66.29443359375,78.04835510253906,Comforting Mess,66.29443359375,78.04835510253906,10
2,Early Bird,"Rational, Hate Distractions, Stimulated By Constraints",1863,19.34,9,1,-1.452526653003183,-1.022301296858885,Cluster_3,Early Bird,-80.38250732421875,-65.82841491699219,Early Bird,-80.38250732421875,-65.82841491699219,10
3,Externally Motivated,"Rational, Hate Distractions, Stimulated By Constraints",3224,33.47,9,8,0.2627771435644723,-0.4027293972079344,Cluster_3,Externally Motivated,-9.075311660766602,-77.80518341064453,Externally Motivated,-9.075311660766602,-77.80518341064453,10
4,Fast-Paced,"Risk Friendly, Novelty Seeker, Multitasker",2211,22.95,18,3,-0.5347670002130738,-0.7757692790861835,Cluster_1,Fast-Paced,90.69221496582031,41.04593276977539,Fast-Paced,90.69221496582031,41.04593276977539,10
5,Generalist,"Risk Friendly, Novelty Seeker, Multitasker",3668,38.08,18,9,0.6835073597795623,-0.47254578972427,Cluster_1,Generalist,70.01093292236328,33.56045532226562,Generalist,70.01093292236328,33.56045532226562,10
6,Dislike Distractions,"Rational, Hate Distractions, Stimulated By Constraints",4599,47.74,9,20,1.088926304103183,2.10507320681426,Cluster_3,Dislike Distractions,-23.64078330993652,-31.57724761962891,Dislike Distractions,-23.64078330993652,-31.57724761962891,10
7,Internally Motivated,"Risk Friendly, Novelty Seeker, Multitasker",3926,40.76,18,11,-0.7610615617735423,1.926388707088878,Cluster_1,Internally Motivated,8.964276313781738,35.16080093383789,Internally Motivated,8.964276313781738,35.16080093383789,10
8,Intuitive,"Risk Friendly, Novelty Seeker, Multitasker",2113,21.94,18,3,-0.5347670002130738,-0.7757692790861835,Cluster_1,Intuitive,29.2535457611084,30.92589569091797,Intuitive,29.2535457611084,30.92589569091797,10
9,Inwardly Inspired,"Solo Creator, Monotasker, Private",2701,28.04,15,4,-0.9438849447775486,-0.02734856890409789,Cluster_2,Inwardly Inspired,-6.124770641326904,55.30690002441406,Inwardly Inspired,-6.124770641326904,55.30690002441406,10
10,Kinetic,"Risk Friendly, Novelty Seeker, Multitasker",3232,33.55,18,7,-0.48140530565881,0.2643264826958345,Cluster_1,Kinetic,45.91747283935547,-12.44028759002686,Kinetic,45.91747283935547,-12.44028759002686,10
11,Let It Happen,"Risk Friendly, Novelty Seeker, Multitasker",3755,38.98,18,10,1.041364044474911,-0.4931897954360983,Cluster_1,Let It Happen,47.18380355834961,22.6389102935791,Let It Happen,47.18380355834961,22.6389102935791,10
12,Love Distractions,"Risk Friendly, Novelty Seeker, Multitasker",2138,22.19,18,2,-0.9504103580572179,-0.7757692790861835,Cluster_1,Love Distractions,97.45013427734375,-5.467159748077393,Love Distractions,97.45013427734375,-5.467159748077393,10
13,Make It Happen,"Rational, Hate Distractions, Stimulated By Constraints",2829,29.37,9,6,-0.6408943575437744,-0.06822936411910957,Cluster_3,Make It Happen,-32.61046981811523,-64.19363403320312,Make It Happen,-32.61046981811523,-64.19363403320312,10
14,Monotasker,"Solo Creator, Monotasker, Private",3471,36.03,15,10,1.51189228690547,-0.306659292638826,Cluster_2,Monotasker,-102.1326217651367,-15.61045265197754,Monotasker,-102.1326217651367,-15.61045265197754,10
15,Multitasker,"Risk Friendly, Novelty Seeker, Multitasker",3607,37.44,18,11,1.404197894887118,-0.5109633121908734,Cluster_1,Multitasker,79.9084243774414,58.00098037719727,Multitasker,79.9084243774414,58.00098037719727,10
16,Nature-Lover,"Risk Friendly, Novelty Seeker, Multitasker",2686,27.88,18,5,0.2965197154752142,-0.7757692790861835,Cluster_1,Nature-Lover,62.28196716308594,3.51757287979126,Nature-Lover,62.28196716308594,3.51757287979126,10
17,Night Owl,"Solo Creator, Monotasker, Private",4173,43.32,15,14,-0.1578953709362113,2.203556739305253,Cluster_2,Night Owl,-7.530689716339111,7.053974151611328,Night Owl,-7.530689716339111,7.053974151611328,10
18,Noise/Music,"Risk Friendly, Novelty Seeker, Multitasker",2721,28.25,18,5,-0.6736120658207899,-0.3407927652888841,Cluster_1,Noise/Music,105.7674407958984,66.95217895507812,Noise/Music,105.7674407958984,66.95217895507812,10
19,NonKinetic,"Solo Creator, Monotasker, Private",1942,20.16,15,2,-0.4594544897356852,-1.03180359869788,Cluster_2,NonKinetic,-79.37813568115234,64.90522766113281,NonKinetic,-79.37813568115234,64.90522766113281,10
20,Novelty-Seeker,"Risk Friendly, Novelty Seeker, Multitasker",4646,48.23,18,20,1.447821792959613,1.315181257587314,Cluster_1,Novelty-Seeker,75.86820220947266,-16.64401626586914,Novelty-Seeker,75.86820220947266,-16.64401626586914,10
21,Tidy,"Rational, Hate Distractions, Stimulated By Constraints",2590,26.89,9,5,-1.480630401782192,-0.2962868573688098,Cluster_3,Tidy,-42.96531677246094,-22.33566856384277,Tidy,-42.96531677246094,-22.33566856384277,10
22,Outwardly Inspired,"Rational, Hate Distractions, Stimulated By Constraints",3914,40.63,9,11,0.2134200844396119,0.264348563559154,Cluster_3,Outwardly Inspired,14.91190338134766,-59.70052719116211,Outwardly Inspired,14.91190338134766,-59.70052719116211,10
23,Perfectionist,"Solo Creator, Monotasker, Private",2260,23.46,15,2,-1.293327652349789,-0.5295760838009889,Cluster_2,Perfectionist,19.29078674316406,97.24014282226562,Perfectionist,19.29078674316406,97.24014282226562,10
24,Pragmatist,"Solo Creator, Monotasker, Private",2522,26.18,15,2,-1.293327652349789,-0.5295760838009889,Cluster_2,Pragmatist,-40.13519668579102,66.25762939453125,Pragmatist,-40.13519668579102,66.25762939453125,10
25,Private Spaces,"Solo Creator, Monotasker, Private",4367,45.33,15,18,1.322893453177221,1.852027983099782,Cluster_2,Private Spaces,-45.27544021606445,5.68483304977417,Private Spaces,-45.27544021606445,5.68483304977417,10
26,Public Spaces,"Risk Friendly, Novelty Seeker, Multitasker",1335,13.86,18,1,-1.366053715901362,-0.7757692790861835,Cluster_1,Public Spaces,84.30425262451172,-32.39118957519531,Public Spaces,84.30425262451172,-32.39118957519531,10
27,Rational,"Rational, Hate Distractions, Stimulated By Constraints",2517,26.13,9,4,1.702104638906109,-1.022301296858885,Cluster_3,Rational,-12.66091346740723,-57.06217956542969,Rational,-12.66091346740723,-57.06217956542969,10
28,Reframer,"Risk Friendly, Novelty Seeker, Multitasker",4324,44.89,18,15,-0.09390446288482474,2.175698312740123,Cluster_1,Reframer,29.47772789001465,-34.85673141479492,Reframer,29.47772789001465,-34.85673141479492,10
29,Risk-Averse,"Solo Creator, Monotasker, Private",3205,33.27,15,10,0.4791201687346309,0.9187488178646294,Cluster_2,Risk-Averse,-77.68546295166016,-10.7763204574585,Risk-Averse,-77.68546295166016,-10.7763204574585,10
30,Risk-Friendly,"Risk Friendly, Novelty Seeker, Multitasker",4283,44.46,18,20,2.275755309715603,0.3351919690654312,Cluster_1,Risk-Friendly,92.12572479248047,19.73722267150879,Risk-Friendly,92.12572479248047,19.73722267150879,10
31,Routine-Seeker,"Solo Creator, Monotasker, Private",2852,29.61,15,7,-0.2364952735031502,0.4526224364030547,Cluster_2,Routine-Seeker,-63.14214706420898,-27.14270973205566,Routine-Seeker,-63.14214706420898,-27.14270973205566,10
32,Self-Assured,"Risk Friendly, Novelty Seeker, Multitasker",1676,17.4,18,1,-1.366053715901362,-0.7757692790861835,Cluster_1,Self-Assured,111.3938446044922,20.38990592956543,Self-Assured,111.3938446044922,20.38990592956543,10
33,Self-Critical,"Solo Creator, Monotasker, Private",3367,34.95,15,8,0.4025757660046688,-0.4988005236363361,Cluster_2,Self-Critical,-73.62467956542969,13.43938446044922,Self-Critical,-73.62467956542969,13.43938446044922,10
34,Quiet/Silence,"Rational, Hate Distractions, Stimulated By Constraints",4105,42.61,9,14,0.007529047639649895,1.235137294636317,Cluster_3,Quiet/Silence,-71.34697723388672,-51.5923957824707,Quiet/Silence,-71.34697723388672,-51.5923957824707,10
35,Slow-Paced,"Solo Creator, Monotasker, Private",2524,26.2,15,5,-0.06543903650827923,-0.6692314456683529,Cluster_2,Slow-Paced,-95.97940826416016,9.842041015625,Slow-Paced,-95.97940826416016,9.842041015625,10
36,Solo Creator,"Solo Creator, Monotasker, Private",4511,46.83,15,18,2.158918982018525,0.8540042202310733,Cluster_2,Solo Creator,-52.74782562255859,39.2223014831543,Solo Creator,-52.74782562255859,39.2223014831543,10
37,Specialist,"Solo Creator, Monotasker, Private",1517,15.75,15,1,-1.051112424828857,-1.03180359869788,Cluster_2,Specialist,-118.1488342285156,-20.97316360473633,Specialist,-118.1488342285156,-20.97316360473633,10
38,Stifled By Constraints,"Risk Friendly, Novelty Seeker, Multitasker",4132,42.89,18,16,0.4056047773217579,1.571882652354715,Cluster_1,Stifled By Constraints,47.58038330078125,58.38994598388672,Stifled By Constraints,47.58038330078125,58.38994598388672,10
39,Stimulated By Constraints,"Rational, Hate Distractions, Stimulated By Constraints",2945,30.57,9,5,0.2992941936761252,-0.7927108525961083,Cluster_3,Stimulated By Constraints,13.08429908752441,-84.24723052978516,Stimulated By Constraints,13.08429908752441,-84.24723052978516,10
40,Tenacious,"Solo Creator, Monotasker, Private",2796,29.03,15,4,-0.5066672572086935,-0.6243574023605589,Cluster_2,Tenacious,-28.71354293823242,22.14179611206055,Tenacious,-28.71354293823242,22.14179611206055,10
41,Nature-Agnostic,"Solo Creator, Monotasker, Private",2125,22.06,15,3,0.1322034453574866,-1.03180359869788,Cluster_2,Nature-Agnostic,-73.81731414794922,50.33547210693359,Nature-Agnostic,-73.81731414794922,50.33547210693359,10
